START_LEVELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,TARGET_PART_NUMBER,CHANNEL,PARAMETER_TYPE,PARAMETER_TYPE_AS_TEXT,LEVEL,LEVEL_REFERENCE_TYPE,LEVEL_REFERENCE_TYPE_AS_TEXT,LEVEL_REFERENCE_LIST_NUMBER,LEVEL_REFERENCE_ID,FADE_TIME,DELAY_TIME,MARK_CUE,TRACK_TYPE,EFFECT,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,31,12,Red,255,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,31,13,Green,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,31,14,Blue,30,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,31,50,Indigo,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,32,12,Red,255,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,32,13,Green,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,32,14,Blue,30,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,32,50,Indigo,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,33,12,Red,255,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,33,13,Green,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,33,14,Blue,30,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,33,50,Indigo,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,34,12,Red,255,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,34,13,Green,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,34,14,Blue,30,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,34,50,Indigo,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,35,12,Red,255,,,,,,,,,,,,,,,,,,,,,,,,,
